site,label,biome,biome_group,inversion_scope,config,forcing_kind,forcing_provenance,intrinsic_transit_time_yr,realised_transit_time_yr,realised_to_intrinsic,gpp_weighted_mean_modifier,soil_moisture_sd,transfer_source
Baram Basin,Lambir Hills (MY-LHP),tropical moist forest,tropical,direct warming,configs/multisite/baram_basin.yaml,daily,daily tower forcing (with loader fallbacks),11.660590867510027,5.44824071242164,0.4672353892118885,2.148580696980441,0.025614327482144074,configured topology; retained MAP tau
BCI,BCI (FluxCom fallback),tropical seasonal forest,tropical,direct warming,configs/expansion/bci.yaml,fluxcom,synthetic climate + FluxCom GPP,12.036874399288669,5.565130226412792,0.46234014261556716,2.206457191370308,0.02120650710018263,configured topology; retained MAP tau
ZF2,Manaus ZF2 (BR-Ma2),tropical moist forest,tropical,direct warming,configs/multisite/zf2.yaml,daily,daily tower forcing (with loader fallbacks),12.510744985369335,5.936928957575426,0.4745463970785397,2.1153199328847774,0.0,configured topology; retained MAP tau
Luquillo_Experimental_Forest,Luquillo Experimental Forest (FluxCom fallback),tropical wet montane forest,tropical,direct warming,configs/expansion/luquillo_experimental_forest.yaml,fluxcom,synthetic climate + FluxCom GPP,12.089170853925138,6.846323287102352,0.5663186805635618,1.8248763407569073,0.02120650710018263,configured topology; retained MAP tau
FLONA,Santarém FLONA (BR-Sa3),tropical moist forest,tropical,direct warming,configs/multisite/flona.yaml,daily,daily tower forcing (with loader fallbacks),14.0401509045821,7.019003611914229,0.4999236589133475,1.9944847063197475,0.06361644440089452,configured topology; retained MAP tau
Santa Gracia,Santa Gracia (FluxCom fallback),semi-arid mediterranean shrubland,grassland_mediterranean,direct warming,configs/expansion/santa_gracia.yaml,fluxcom,synthetic climate + FluxCom GPP,12.199534241270825,11.791416333494052,0.9665464353224145,0.9532121622936555,0.02120650707806603,configured topology; retained MAP tau
HI_Andisol,HI Andisol (FluxCom fallback),tropical volcanic Andisol forest,tropical,direct warming,configs/expansion/hi_andisol.yaml,fluxcom,synthetic climate + FluxCom GPP,12.096862235275207,11.874323170280404,0.9816035711851073,1.0704514782189931,0.02120650710018263,configured topology; retained MAP tau
Nahuelbuta,Nahuelbuta (FluxCom fallback),temperate montane forest,temperate_forest,direct warming,configs/expansion/nahuelbuta.yaml,fluxcom,synthetic climate + FluxCom GPP,12.169088585506724,12.497772153247292,1.0270097111571714,0.8157279742969619,0.02120650720185024,configured topology; retained MAP tau
MO Ozark BREA,Missouri Ozark (US-MOz),temperate deciduous forest,temperate_forest,direct warming,configs/multisite/mo_ozark_brea.yaml,daily,daily tower forcing (with loader fallbacks),12.157247938189808,12.66115996439838,1.0414495146245741,1.2807300426251205,0.09713358448850198,configured topology; retained MAP tau
Trumbore Falbrook,Trumbore Falbrook (FluxCom fallback),semi-arid grassland,grassland_mediterranean,incubation expansion,configs/expansion/trumbore_falbrook.yaml,fluxcom,synthetic climate + FluxCom GPP,15.807137824328846,13.389298131504015,0.8470412721331801,1.3132002576241224,0.021206506947228535,configured topology; retained MAP tau
La Campana,La Campana (FluxCom fallback),mediterranean forest,grassland_mediterranean,incubation expansion,configs/expansion/la_campana.yaml,fluxcom,synthetic climate + FluxCom GPP,14.197741912558326,13.52227290134831,0.9524241942577825,0.9015305494096785,0.02120650730759958,configured topology; retained MAP tau
CA_Mollisol,CA Mollisol (FluxCom fallback),Mediterranean coastal grassland,grassland_mediterranean,direct warming,configs/expansion/ca_mollisol.yaml,fluxcom,synthetic climate + FluxCom GPP,12.160943109376102,14.861620445827134,1.2220779516984013,0.9421315491305654,0.0212065070602553,configured topology; retained MAP tau
Nelson Farm,Nelson Farm (FluxCom fallback),temperate cultivated cropland,temperate_forest,incubation expansion,configs/expansion/nelson_farm.yaml,fluxcom,synthetic climate + FluxCom GPP,11.807639601116524,15.98186555147377,1.353519085216874,0.9543973180792193,0.0212065070602553,configured topology; retained MAP tau
AZ_Mollisol,AZ Mollisol (FluxCom fallback),semi-arid montane grassland,grassland_mediterranean,direct warming,configs/expansion/az_mollisol.yaml,fluxcom,synthetic climate + FluxCom GPP,12.195581767417485,17.080079801372396,1.4005137374425758,0.8299450683885782,0.021206507972759938,configured topology; retained MAP tau
Biadaski,Biadaski (FluxCom fallback),temperate forest,temperate_forest,incubation expansion,configs/expansion/biadaski.yaml,fluxcom,synthetic climate + FluxCom GPP,11.797710127406543,18.36040314268388,1.5562683727948141,1.0668648029113539,0.02120650741742182,configured topology; retained MAP tau
Harvard Forest,Harvard Forest (US-Ha1),temperate deciduous forest,temperate_forest,direct warming,configs/multisite/harvard_forest.yaml,daily,daily tower forcing (with loader fallbacks),11.568209941810196,18.520138331630115,1.6009510913779355,0.7431229020593046,0.05446204806525041,configured topology; retained MAP tau
Appi forest,Appi forest (JP-Api),temperate forest,temperate_forest,direct warming,configs/multisite/appi_forest.yaml,daily,daily tower forcing (with loader fallbacks),11.874438802039407,18.61647108125629,1.567776919112923,0.9683855405825341,0.0,configured topology; retained MAP tau
Howland Forest,Howland Forest (US-Ho1),temperate coniferous forest,temperate_forest,direct warming,configs/multisite/howland_forest.yaml,daily,daily tower forcing (with loader fallbacks),11.178834262579906,20.82888241688793,1.8632427968460583,0.6917759237611365,0.06415352821466251,configured topology; retained MAP tau
ARL,ARL (FluxCom fallback),temperate cultivated cropland,temperate_forest,direct warming,configs/expansion/arl.yaml,fluxcom,synthetic climate + FluxCom GPP,12.340783979180816,20.852422676522,1.6897162053643036,0.9238137367262987,0.021206507532856893,configured topology; retained MAP tau
NH Bartlett Forest,Bartlett Forest (US-Bar),temperate mixed forest,temperate_forest,direct warming,configs/multisite/nh_bartlett_forest.yaml,daily,daily tower forcing (with loader fallbacks),12.768889208402339,20.86133154430752,1.6337624364835193,0.8911119138677004,0.12286670964250065,configured topology; retained MAP tau
Solling,Solling/Reinshof (DE-Rns),temperate forest,temperate_forest,direct warming,configs/multisite/solling.yaml,daily,daily tower forcing (with loader fallbacks),18.784278701216728,21.77643339577413,1.1592903694706995,0.9965271006171209,0.05766898512426715,configured topology; retained MAP tau
Auchencorth Moss,Auchencorth Moss (UK-AMo),temperate peatland,peatland,direct warming,configs/multisite/auchencorth_moss.yaml,daily,daily tower forcing (with loader fallbacks),13.778003222301995,26.197396150940214,1.9013928018637245,0.6109926775741189,0.21049537684485534,configured topology; retained MAP tau
MI-Coarse UMBS,UMBS (US-UMB),temperate mixed forest,temperate_forest,direct warming,configs/multisite/mi_coarse_umbs.yaml,daily,daily tower forcing (with loader fallbacks),12.513063459553814,26.715233247895892,2.134987434072239,0.6204078213880612,0.02775880169694527,configured topology; retained MAP tau
Willow Creek,Willow Creek (FluxCom fallback),cool temperate forest,temperate_forest,direct warming,configs/expansion/willow_creek.yaml,fluxcom,synthetic climate + FluxCom GPP,11.775182001602102,27.80210006348595,2.3610760376954905,0.7722386758129065,0.021206507624593595,configured topology; retained MAP tau
Treynor,Treynor (FluxCom fallback),temperate cultivated Mollisol,grassland_mediterranean,incubation expansion,configs/expansion/treynor.yaml,fluxcom,synthetic climate + FluxCom GPP,26.810496980758487,35.513112865453124,1.3245973355488478,1.0852561154752771,0.0212065070602553,configured topology; retained MAP tau
CZ_Old_Black_Spruce,Old Black Spruce (CA-NS1),boreal forest,boreal,direct warming,configs/multisite/cz_old_black_spruce.yaml,daily,daily tower forcing (with loader fallbacks),14.354677639816872,36.138700013814194,2.5175556651702857,0.7667429671826199,0.08853313847059964,configured topology; retained MAP tau
Dinesen,Dinesen (FluxCom fallback),temperate grassland Mollisol,grassland_mediterranean,incubation expansion,configs/expansion/dinesen.yaml,fluxcom,synthetic climate + FluxCom GPP,27.808386281218674,36.7644996766299,1.32206519662236,1.0833967538644853,0.0212065070602553,configured topology; retained MAP tau
Trumbore Ahwahnee,Trumbore Ahwahnee (US-xSP),warm shrubland,other,incubation expansion,configs/expansion/trumbore_ahwahnee.yaml,daily,daily tower forcing (with loader fallbacks),26.845372112330804,37.82859713561984,1.4091291779205453,0.750812190810132,0.07843385364308986,configured topology; retained MAP tau
EML,Eight Mile Lake (US-EML),tundra/permafrost,arctic_permafrost,direct warming,configs/multisite/eml.yaml,daily,daily tower forcing (with loader fallbacks),6.039551774970526,41.50131442069685,6.871588483219747,0.29047616279068605,0.26548422920230214,configured topology; retained MAP tau
CZ_1981burn,CZ 1981 Burn (CA-NS5),boreal burned forest permafrost,arctic_permafrost,incubation expansion,configs/expansion/cz_1981burn.yaml,daily,daily tower forcing (with loader fallbacks),13.367786545923673,45.2878996165168,3.3878383276793675,0.5971222016613487,0.08897499132264927,configured topology; retained MAP tau
CZ_1930burn,CZ 1930 Burn (CA-NS2),boreal burned forest permafrost,arctic_permafrost,incubation expansion,configs/expansion/cz_1930burn.yaml,daily,daily tower forcing (with loader fallbacks),14.42018887983083,46.6224804458867,3.233139373860521,0.5773582684891055,0.059450218817552795,configured topology; retained MAP tau
Trumbore Musick,Trumbore Musick (US-xSP),montane conifer forest,temperate_forest,incubation expansion,configs/expansion/trumbore_musick.yaml,daily,daily tower forcing (with loader fallbacks),39.05273883708697,55.04408471599886,1.4094807779198701,0.750812190810132,0.07843385364308986,configured topology; retained MAP tau
CZ_1964burn_NSA,1964 burn NSA (CA-NS4),boreal wet forest/fire chronosequence,boreal,direct warming,configs/multisite/cz_1964burn_nsa.yaml,daily,daily tower forcing (with loader fallbacks),9.433178927545999,58.65250126905942,6.217681411489734,0.6249955669914943,0.17231058242977193,configured topology; retained MAP tau
Adventdalen Valley,Adventdalen (SJ-Adv),high-arctic tundra/permafrost,arctic_permafrost,direct warming,configs/multisite/adventdalen_valley.yaml,daily,daily tower forcing (with loader fallbacks),12.19110953697426,93.40228476557259,7.661508124612776,0.33916494286491294,0.0,configured topology; retained MAP tau
