config_stem,site_name,label,biome,lat,lon,mat_c,map_mm,elevation_m,forcing_kind,tower_id,forcing_glob,er_observation_glob,observation_path,usable_inc_rows,notes
la_campana,La Campana,La Campana (FluxCom fallback),mediterranean forest,-33.028559,-71.044050,14.9,436.0,,fluxcom,,shared/fluxcom/la_campana_fluxcom.csv,shared/fluxcom/la_campana_fluxcom_er.csv,bulk_resp,43,"Usable incubation plus bulk-layer 14C; no exported AmeriFlux/ICOS tower within 25 km."
biadaski,Biadaski,Biadaski (FluxCom fallback),temperate forest,51.247830,18.105830,8.2,591.0,150.0,fluxcom,,shared/fluxcom/biadaski_fluxcom.csv,shared/fluxcom/biadaski_fluxcom_er.csv,bulk_resp,37,"Usable incubation plus bulk-layer 14C; no exported AmeriFlux/ICOS tower within 25 km."
treynor,Treynor,Treynor (FluxCom fallback),temperate cultivated Mollisol,41.165746,-95.643295,,,352.0,fluxcom,,shared/fluxcom/treynor_fluxcom.csv,shared/fluxcom/treynor_fluxcom_er.csv,bulk_resp,8,"Bulk-layer + field-flux + incubation 14C. ISRaD climatology metadata missing, so the FluxCom synthetic forcing falls back to loader defaults for MAT/MAP."
dinesen,Dinesen,Dinesen (FluxCom fallback),temperate grassland Mollisol,41.709776,-95.279726,,,397.0,fluxcom,,shared/fluxcom/dinesen_fluxcom.csv,shared/fluxcom/dinesen_fluxcom_er.csv,combined,6,"Fraction + bulk + field-flux + incubation 14C. ISRaD climatology metadata missing, so the FluxCom synthetic forcing falls back to loader defaults for MAT/MAP."
goodwin_creek,Goodwin Creek,Goodwin Creek (US-Goo),warm temperate forest,34.375000,-89.908333,,,110.0,daily,US-Goo,AMF_US-Goo_*,,bulk_resp,6,"Bulk-layer + incubation 14C with an AmeriFlux tower candidate from the exported colocation table. Download requires explicit AmeriFlux policy acceptance."
nelson_farm,Nelson Farm,Nelson Farm (FluxCom fallback),temperate cultivated cropland,34.688889,-90.033333,,,98.0,fluxcom,,shared/fluxcom/nelson_farm_fluxcom.csv,shared/fluxcom/nelson_farm_fluxcom_er.csv,bulk_resp,4,"Bulk-layer + incubation 14C. ISRaD climatology metadata missing, so the FluxCom synthetic forcing falls back to loader defaults for MAT/MAP."
cz_1981burn,CZ_1981burn,CZ 1981 Burn (CA-NS5),boreal burned forest permafrost,55.864000,-98.484000,-3.2,510.0,250.0,daily,CA-NS5,AMF_CA-NS5_*,,bulk_resp,4,"Bulk-layer + incubation 14C with a colocated AmeriFlux burn-site tower candidate. Download requires explicit AmeriFlux policy acceptance."
carpathian_basin_29,carpathian Basin_29,Carpathian Basin 29 (FluxCom fallback),temperate forest,47.830650,20.355680,11.1,577.0,,fluxcom,,shared/fluxcom/carpathian_basin_29_fluxcom.csv,shared/fluxcom/carpathian_basin_29_fluxcom_er.csv,bulk_resp,4,"Bulk-layer + incubation 14C; no exported AmeriFlux/ICOS tower within 25 km."
trumbore_shaver,Trumbore Shaver,Trumbore Shaver (US-CZ3),montane conifer forest,37.031820,-119.188000,9.1,1010.0,1784.0,daily,US-CZ3,AMF_US-CZ3_*,,combined,3,"Fraction + bulk + incubation 14C with an AmeriFlux Sierra Critical Zone tower candidate. Download requires explicit AmeriFlux policy acceptance."
trumbore_musick,Trumbore Musick,Trumbore Musick (US-xSP),montane conifer forest,37.028700,-119.271017,11.1,910.0,1268.0,daily,US-xSP,AMF_US-xSP_*,,combined,3,"Fraction + bulk + incubation 14C with an AmeriFlux SOAP/NEON alias tower candidate. Download requires explicit AmeriFlux policy acceptance."
